Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,39.169998,40.000000,33.169998,35.200001,30.454756,165430100
2015-02-01,35.139999,39.470001,34.130001,38.099998,32.963802,93049300
2015-03-01,38.200001,42.000000,37.750000,37.790001,32.695602,115069800
2015-04-01,37.630001,38.880001,34.490002,34.650002,30.145573,86236600
2015-05-01,34.759998,37.180000,33.730000,34.700001,30.189070,111541700
2015-06-01,34.849998,35.500000,32.560001,32.610001,28.370768,80231000
2015-07-01,32.950001,35.340000,31.680000,32.290001,28.282070,81045200
2015-08-01,32.209999,36.939999,28.320000,36.740002,32.179714,114767400
2015-09-01,35.939999,39.099998,35.189999,37.119999,32.512558,100507900
2015-10-01,37.250000,38.119999,34.070000,35.029999,30.872231,72754600
2015-11-01,35.139999,36.509998,28.650000,31.780001,28.007984,135482100
2015-12-01,31.830000,31.889999,28.879999,30.450001,26.835840,95451100
2016-01-01,29.840000,31.200001,25.309999,27.930000,24.799479,139990400
2016-02-01,27.840000,32.830002,26.100000,32.389999,28.759581,119984400
2016-03-01,32.750000,34.950001,31.010000,32.439999,28.803976,103042900
2016-04-01,32.169998,33.660000,29.809999,32.080002,28.724777,71106900
2016-05-01,32.290001,33.220001,30.049999,32.169998,28.805357,129631100
2016-06-01,32.169998,32.680000,28.760000,30.600000,27.399565,108014000
2016-07-01,30.660000,33.630001,29.790001,33.599998,30.368294,80386600
2016-08-01,33.410000,40.580002,32.020000,38.480000,34.778915,169667300
2016-09-01,38.560001,39.259998,36.509998,38.180000,34.507782,98252600
2016-10-01,38.150002,40.209999,37.619999,38.910000,35.429176,83112100
2016-11-01,38.930000,47.290001,37.099998,45.700001,41.611748,157435000
2016-12-01,45.549999,49.400002,42.340000,42.669998,38.852806,105363200
2017-01-01,43.049999,45.830002,41.790001,44.520000,40.781197,86954400
2017-02-01,44.580002,46.450001,43.270000,44.130001,40.423950,80963300
2017-03-01,42.549999,49.349998,41.669998,49.150002,45.022366,120802900
2017-04-01,49.150002,52.669998,47.680000,51.810001,47.814400,69194800
2017-05-01,51.990002,61.950001,50.290001,59.389999,54.809826,119755400
2017-06-01,59.360001,60.349998,54.650002,57.330002,52.908699,85070400
2017-07-01,57.869999,59.689999,52.970001,58.340000,54.163200,76986400
2017-08-01,58.599998,63.320000,53.450001,54.259998,50.375305,118876800
2017-09-01,54.439999,58.759998,51.610001,56.959999,52.882004,108584300
2017-10-01,57.110001,59.459999,54.020000,55.980000,52.275421,69784900
2017-11-01,56.180000,60.520000,52.919998,59.610001,55.665195,93747800
2017-12-01,59.750000,68.980003,58.820000,68.470001,63.938877,73807000
2018-01-01,68.260002,78.589996,66.110001,73.059998,68.601440,70290500
2018-02-01,72.570000,74.360001,65.050003,72.440002,68.019279,65399100
2018-03-01,74.449997,77.320000,66.650002,69.989998,65.718788,95919400
2018-04-01,69.870003,78.220001,67.989998,76.529999,72.324364,59124300
2018-05-01,76.209999,79.900002,67.550003,68.250000,64.499374,87751500
2018-06-01,68.500000,77.970001,67.910004,74.580002,70.481522,75148700
2018-07-01,74.330002,78.790001,72.839996,75.029999,71.340332,47306500
2018-08-01,75.190002,84.370003,74.309998,79.559998,75.647545,84482900
2018-09-01,79.510002,81.660004,76.440002,79.360001,75.457397,59820800
2018-10-01,79.570000,79.820000,66.080002,70.160004,67.094978,72452000
2018-11-01,70.070000,75.110001,60.070000,64.589996,61.768307,103339100
2018-12-01,66.089996,67.559998,47.720001,52.959999,50.646378,94560200
2019-01-01,52.189999,59.540001,50.939999,59.240002,57.075996,70680700
2019-02-01,59.240002,70.730003,57.779999,68.839996,66.325310,70500600
2019-03-01,69.639999,73.339996,66.360001,71.059998,68.464226,77683100
2019-04-01,71.360001,75.910004,71.089996,74.410004,72.205849,47650400
2019-05-01,74.410004,75.529999,62.369999,62.669998,60.813599,77770200
2019-06-01,62.389999,69.820000,61.580002,69.730003,67.664474,48590100
2019-07-01,71.239998,78.529999,70.910004,76.529999,74.834114,47128000
2019-08-01,76.709999,77.230003,62.040001,63.650002,62.239540,79326200
2019-09-01,63.029999,69.900002,62.480000,68.989998,67.461197,47222500
2019-10-01,69.199997,75.400002,63.520000,71.830002,70.755341,43315900
2019-11-01,72.400002,83.629997,71.889999,80.639999,79.433533,63396200
2019-12-01,81.000000,89.500000,77.050003,87.800003,86.486404,55276500
