Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,69.000000,71.110001,65.360001,67.760002,61.339397,112944500
2015-02-01,67.580002,75.980003,66.169998,74.089996,67.302902,93874300
2015-03-01,73.519997,76.250000,72.480003,74.389999,67.575417,103215100
2015-04-01,74.320000,75.639999,68.599998,68.860001,62.551979,90452300
2015-05-01,67.669998,73.930000,67.599998,69.980003,63.771576,116898300
2015-06-01,69.959999,71.080002,66.690002,66.970001,61.028606,111233300
2015-07-01,67.449997,69.800003,65.830002,69.360001,63.206558,112697900
2015-08-01,69.169998,74.779999,64.220001,69.169998,63.295876,139029100
2015-09-01,67.879997,71.589996,66.220001,68.919998,63.067089,94053800
2015-10-01,69.040001,74.570000,68.160004,73.830002,67.560127,85356400
2015-11-01,73.900002,78.129997,69.750000,76.599998,70.365593,109613600
2015-12-01,76.910004,77.669998,73.870003,76.040001,69.851173,84586000
2016-01-01,74.690002,76.470001,66.930000,71.660004,65.827682,119578200
2016-02-01,70.540001,72.889999,62.619999,67.529999,62.283241,144319700
2016-03-01,68.180000,76.379997,66.919998,75.750000,69.864586,99094400
2016-04-01,75.629997,77.629997,74.669998,76.019997,70.113609,83850200
2016-05-01,75.330002,80.690002,74.559998,80.129997,74.172928,108107200
2016-06-01,80.129997,80.760002,75.349998,79.169998,73.284286,113898700
2016-07-01,79.339996,83.650002,78.820000,82.279999,76.163078,86528300
2016-08-01,81.910004,82.680000,75.809998,76.559998,71.173332,114298200
2016-09-01,76.690002,77.080002,70.410004,72.209999,67.129417,118347300
2016-10-01,72.059998,73.220001,66.379997,66.650002,61.960606,125729700
2016-11-01,66.440002,72.370003,64.870003,70.550003,65.909500,156947200
2016-12-01,70.339996,76.470001,69.919998,74.690002,69.777214,134623900
2017-01-01,71.709999,74.750000,70.489998,73.080002,68.273102,104191300
2017-02-01,72.910004,77.519997,71.790001,74.370003,69.818779,106682500
2017-03-01,81.279999,84.000000,80.279999,82.209999,77.179001,128273700
2017-04-01,83.110001,85.760002,81.050003,84.879997,79.685600,81098100
2017-05-01,84.839996,86.250000,78.099998,78.769997,74.260887,136012800
2017-06-01,78.769997,81.449997,75.790001,77.529999,73.091888,131718300
2017-07-01,78.000000,78.449997,71.580002,77.400002,72.969322,122500900
2017-08-01,77.269997,78.910004,70.760002,73.889999,70.049194,149943300
2017-09-01,74.190002,80.150002,73.720001,79.940002,75.784737,145099700
2017-10-01,80.040001,82.739998,79.400002,79.949997,75.794189,110493800
2017-11-01,79.620003,84.680000,75.360001,83.370003,79.441498,142241900
2017-12-01,83.239998,93.550003,82.120003,92.940002,88.560539,131002100
2018-01-01,93.019997,108.980003,91.169998,104.730003,99.794983,128537300
2018-02-01,103.839996,105.080002,86.750000,89.589996,85.696426,151269400
2018-03-01,89.570000,90.330002,83.739998,87.750000,83.936394,170855700
2018-04-01,87.349998,89.150002,81.309998,82.430000,78.847618,132443800
2018-05-01,81.750000,97.980003,81.160004,95.010002,91.324791,143773800
2018-06-01,95.440002,101.330002,95.160004,95.570000,91.863068,91697700
2018-07-01,95.360001,101.980003,93.959999,99.339996,95.486832,76344400
2018-08-01,98.989998,109.800003,96.239998,108.750000,105.030212,107517700
2018-09-01,108.389999,117.699997,108.029999,114.820000,110.892578,94437200
2018-10-01,115.580002,115.629997,91.610001,95.220001,91.962997,117775300
2018-11-01,95.290001,100.690002,84.750000,94.370003,91.588898,114556600
2018-12-01,95.489998,96.059998,85.900002,92.360001,89.638115,106725000
2019-01-01,91.220001,98.220001,90.230003,96.160004,93.326134,98822400
2019-02-01,96.209999,109.919998,95.839996,105.089996,102.511017,88244000
2019-03-01,105.900002,109.940002,97.550003,109.470001,106.783539,99741000
2019-04-01,110.209999,118.230003,105.839996,113.139999,110.363480,86340500
2019-05-01,113.040001,113.129997,91.599998,93.279999,91.377533,132427600
2019-06-01,93.029999,102.959999,92.900002,100.910004,98.851921,95671900
2019-07-01,102.099998,108.309998,100.839996,101.400002,99.331924,92411000
2019-08-01,101.739998,113.239998,91.820000,112.199997,110.504311,125759700
2019-09-01,111.370003,115.959999,108.809998,109.959999,108.298172,74933600
2019-10-01,110.089996,113.809998,104.589996,111.610001,109.923225,75839900
2019-11-01,111.919998,121.220001,110.150002,117.309998,116.107513,86957200
2019-12-01,117.599998,121.459999,113.610001,119.760002,118.532402,66612000
